State,R2,Mean_Error,Mean_Error_Pct
Alabama,0.9980230738175686,24774.304418970016,7.249884238256472
Alaska,0.9980230738175686,2129.947150963417,4.421454239850989
Arizona,0.9980230738175686,3972.5109868656145,0.7213186498015566
Arkansas,0.9980230738175686,1999.5615459601686,0.9506330445755294
California,0.9980230738175686,-65434.615093043074,-2.297187858062658
Colorado,0.9980230738175686,-462.37831955897855,-0.1063471623845924
Connecticut,0.9980230738175686,-7666.9496070896275,-2.5625431099957643
Delaware,0.9980230738175686,798.1422718977119,0.9566839333289926
District of Columbia,0.9980230738175686,-2879.5168379110182,-4.842453985455096
Florida,0.9980230738175686,-23155.362041182816,-1.813795127087658
Georgia,0.9980230738175686,-12441.330523398123,-1.6883061374218526
Hawaii,0.9980230738175686,768.7324509993923,0.7934074218179299
Idaho,0.9980230738175686,-4836.331903828235,-3.796000112889687
Illinois,0.9980230738175686,-20334.627025929512,-2.4433491891716264
Indiana,0.9980230738175686,-4400.560492851597,-0.8844654374534654
Iowa,0.9980230738175686,-6602.588198065234,-3.0000173560511776
Kansas,0.9980230738175686,-3844.434758723306,-1.7772637480691345
Kentucky,0.9980230738175686,-30214.132098140428,-7.636908978305761
Louisiana,0.9980230738175686,-42.05616493499838,-0.015198588034085518
Maine,0.9980230738175686,7228.682748762454,6.252050015795102
Maryland,0.9980230738175686,12814.143861201184,3.046011481532826
Massachusetts,0.9980230738175686,743.8288286103634,0.12563657484027704
Michigan,0.9980230738175686,3409.678409283748,0.3966891838232982
Minnesota,0.9980230738175686,-17854.276547884452,-4.835438537714009
Mississippi,0.9980230738175686,8935.638721641153,4.439561551544992
Missouri,0.9980230738175686,14732.533753868076,3.3348349402227995
Montana,0.9980230738175686,-1249.102012049756,-1.39483429968036
Nebraska,0.9980230738175686,1126.3929908489226,0.9871634568892612
Nevada,0.9980230738175686,-17887.77197488534,-7.762745453035981
New Hampshire,0.9980230738175686,9355.232986498158,7.359776723465074
New Jersey,0.9980230738175686,-68993.55977767403,-11.524876810564127
New Mexico,0.9980230738175686,-1168.8919704223226,-0.7186238344629021
New York,0.9980230738175686,-46953.56786891585,-3.2402016617911507
North Carolina,0.9980230738175686,34378.570325094974,5.323540119466412
North Dakota,0.9980230738175686,1455.2545112951411,2.9173355878658884
Ohio,0.9980230738175686,9269.705031142454,1.0349915345876208
Oklahoma,0.9980230738175686,-6463.08820047148,-2.0024501874375247
Oregon,0.9980230738175686,-15491.9264644527,-4.3399857866899465
Pennsylvania,0.9980230738175686,31183.884865996893,3.0209741540288744
Rhode Island,0.9980230738175686,-6292.231515898893,-6.097714425718474
South Carolina,0.9980230738175686,8777.345070611686,2.2754503852615318
South Dakota,0.9980230738175686,-3790.81465852353,-7.021327391227135
Tennessee,0.9980230738175686,-19161.69856230053,-3.470341454643349
Texas,0.9980230738175686,-52943.46142732166,-3.273384648082942
Utah,0.9980230738175686,-30710.026210690674,-12.300591681863422
Vermont,0.9980230738175686,1119.3631679719329,2.0433419761814
Virginia,0.9980230738175686,3194.248775012791,0.5592544278178154
Washington,0.9980230738175686,-46412.3943506598,-8.005256246513262
West Virginia,0.9980230738175686,137.94199082348496,0.0788190404165938
Wisconsin,0.9980230738175686,-10817.131835488137,-2.325719742143914
Wyoming,0.9980230738175686,713.3101619592708,1.6141160435356416
